source	target	weight
1b150a1f52efea1be1e6cb3e9f7158ef	5c9f0594637013ef7ab9fb402f58ea31	1
5c9f0594637013ef7ab9fb402f58ea31	4e626f6bde328d7f13d224e47e905ddf	1
4e626f6bde328d7f13d224e47e905ddf	6d479bcae5897df3c69b6b9d60f5eab0	1
6d479bcae5897df3c69b6b9d60f5eab0	7f59c53c3f9270dcca4038edc94bd12a	1
7f59c53c3f9270dcca4038edc94bd12a	0f4a5cbc1fc19969a137b839bab1f8fb	1
0f4a5cbc1fc19969a137b839bab1f8fb	1b699296ba206b67cbb6f4dc6a93cbe5	1
1b699296ba206b67cbb6f4dc6a93cbe5	2f534b7ee6e4eff946a71ecc09a8fc7c	1
2f534b7ee6e4eff946a71ecc09a8fc7c	06f90bd87a765ea48c97793ad85c962b	1
06f90bd87a765ea48c97793ad85c962b	01265cf9799b60e5570c8be5599fda4a	1
01265cf9799b60e5570c8be5599fda4a	05c5852e474875a87a3e3e07fa9bf726	1
05c5852e474875a87a3e3e07fa9bf726	221b34257aee1a837b040bacbfdbf38d	1
221b34257aee1a837b040bacbfdbf38d	b7558b60f45c0b7de94b2e9f9279f8a8	1
b7558b60f45c0b7de94b2e9f9279f8a8	eb12f6455220115fe66bb62288ef92e1	1
eb12f6455220115fe66bb62288ef92e1	aa9b01d5364ced41974473630faebb3b	1
aa9b01d5364ced41974473630faebb3b	f7a727cbed748427d7b4f37bd991a071	1
f7a727cbed748427d7b4f37bd991a071	3cdaf14bed3ba7a73ff461c266573a1a	1
3cdaf14bed3ba7a73ff461c266573a1a	9ca9b53804bfc66bb6ccf1fb5da9da6b	1
9ca9b53804bfc66bb6ccf1fb5da9da6b	507b37c00eaf5ead9f78c1b33981d639	1
507b37c00eaf5ead9f78c1b33981d639	1bcca017c1f57fababb0c95abb5b31a7	1
1bcca017c1f57fababb0c95abb5b31a7	2276a25c2d4d6b2b4829e627b27a0e38	1
2276a25c2d4d6b2b4829e627b27a0e38	72fdb41f6fb8b75bd2d711266dbb97b8	1
72fdb41f6fb8b75bd2d711266dbb97b8	17d3f933c73ed0abb0ddca2f67ba2e85	1
17d3f933c73ed0abb0ddca2f67ba2e85	192ca4738309429bdf54d4bed21526dd	1
192ca4738309429bdf54d4bed21526dd	339251b28e95b271ae80d3fa6c8e34c2	1
339251b28e95b271ae80d3fa6c8e34c2	e15cc4ac4afaf63571e579e0f84485fd	1
e15cc4ac4afaf63571e579e0f84485fd	a398023cac36cbfb65e444aa35c14747	1
a398023cac36cbfb65e444aa35c14747	6dd4ead57dd7b84d893c2960848b8874	1
6dd4ead57dd7b84d893c2960848b8874	75ec828c77a7663ef643837a161107b2	1
75ec828c77a7663ef643837a161107b2	54c6accf35ecf6fba6f832c2583af139	1
54c6accf35ecf6fba6f832c2583af139	bff9ab33ac6d10a531a211d0160a509a	1
bff9ab33ac6d10a531a211d0160a509a	12edc605c08b4c73245f06815680a619	1
12edc605c08b4c73245f06815680a619	12f152e7e88ef1c0655d2135f2f82870	1
bff9ab33ac6d10a531a211d0160a509a	48f6916a1d484d11a61d8c327bdf89d1	1
48f6916a1d484d11a61d8c327bdf89d1	9decac8c881246c03bf9cf48946c82df	1
48f6916a1d484d11a61d8c327bdf89d1	170d9e9f3be8fe2de235f8b09d7b7e11	1
170d9e9f3be8fe2de235f8b09d7b7e11	ff06500cf46fa87ae4bbd93e9672af8d	1
ff06500cf46fa87ae4bbd93e9672af8d	bcd30be9072430550bccd2123f156d52	1
bcd30be9072430550bccd2123f156d52	1e9f911e849c19a6b844609d4338f619	1
bcd30be9072430550bccd2123f156d52	6a764d448646ac6a133f081dd95edfff	1
6a764d448646ac6a133f081dd95edfff	4bf4eb02bd90f56cdab6c2c64cb3f284	1
4bf4eb02bd90f56cdab6c2c64cb3f284	4ee3b379da42012a93b7bd7cb33f2cb4	1
4bf4eb02bd90f56cdab6c2c64cb3f284	c8dca391829d38f42bc3304f756d1369	1
c8dca391829d38f42bc3304f756d1369	f491a26961a27e52922821fbba86ba1a	1
f491a26961a27e52922821fbba86ba1a	1ecfa8bc169d611ff3d559a2452ca0a5	1
1ecfa8bc169d611ff3d559a2452ca0a5	2f05dc8fed6d24f87dd71a71cb6e16c1	1
2f05dc8fed6d24f87dd71a71cb6e16c1	a18e423bd53e2e94bcbbc5b517c08c79	1
a18e423bd53e2e94bcbbc5b517c08c79	d5cedb81966444cfde811942a8c37bb3	1
